"","HComplete.AR.non.scaled","HWardD.AR.non.scaled","HWardD2.AR.non.scaled","HSingle.AR.non.scaled","HAverage.AR.non.scaled","HMcQuitty.AR.non.scaled","HMedian.AR.non.scaled","HCentroid.AR.non.scaled","Genie.AR.non.scaled","Genie0.2.AR.non.scaled","Genie0.4.AR.non.scaled","Genie0.5.AR.non.scaled","Genie0.6.AR.non.scaled","Genie0.7.AR.non.scaled","ASingle.AR.non.scaled","ownq1.AR.non.scaled","own2q.AR.non.scaled","own3q.AR.non.scaled","own5.AR.non.scaled","own10.AR.non.scaled","own12.AR.non.scaled","own15.AR.non.scaled","own.AR.non.scaled","HComplete.FM.non.scaled","HWardD.FM.non.scaled","HWardD2.FM.non.scaled","HSingle.FM.non.scaled","HAverage.FM.non.scaled","HMcQuitty.FM.non.scaled","HMedian.FM.non.scaled","HCentroid.FM.non.scaled","Genie.FM.non.scaled","Genie0.2.FM.non.scaled","Genie0.4.FM.non.scaled","Genie0.5.FM.non.scaled","Genie0.6.FM.non.scaled","Genie0.7.FM.non.scaled","ASingle.FM.non.scaled","ownq1.FM.non.scaled","own2q.FM.non.scaled","own3q.FM.non.scaled","own5.FM.non.scaled","own10.FM.non.scaled","own12.FM.non.scaled","own15.FM.non.scaled","own.FM.non.scaled","HComplete.AR.scaled","HWardD.AR.scaled","HWardD2.AR.scaled","HSingle.AR.scaled","HAverage.AR.scaled","HMcQuitty.AR.scaled","HMedian.AR.scaled","HCentroid.AR.scaled","Genie.AR.scaled","Genie0.2.AR.scaled","Genie0.4.AR.scaled","Genie0.5.AR.scaled","Genie0.6.AR.scaled","Genie0.7.AR.scaled","ASingle.AR.scaled","ownq1.AR.scaled","own2q.AR.scaled","own3q.AR.scaled","own5.AR.scaled","own10.AR.scaled","own12.AR.scaled","own15.AR.scaled","own.AR.scaled","HComplete.FM.scaled","HWardD.FM.scaled","HWardD2.FM.scaled","HSingle.FM.scaled","HAverage.FM.scaled","HMcQuitty.FM.scaled","HMedian.FM.scaled","HCentroid.FM.scaled","Genie.FM.scaled","Genie0.2.FM.scaled","Genie0.4.FM.scaled","Genie0.5.FM.scaled","Genie0.6.FM.scaled","Genie0.7.FM.scaled","ASingle.FM.scaled","ownq1.FM.scaled","own2q.FM.scaled","own3q.FM.scaled","own5.FM.scaled","own10.FM.scaled","own12.FM.scaled","own15.FM.scaled","own.FM.scaled"
"atom",0.08353,1,0.09863,1,0.09863,0.21321,0.00013,0.00345,1,1,1,1,1,1,1,0.01443,0.00126,0.18637,0.22255,1,0.2518,1,0.00733,0.6468,1,0.64628,1,0.64628,0.66112,0.7023,0.68703,1,1,1,1,1,1,1,0.51327,0.50226,0.65551,0.6633,1,0.67077,1,0.50618,0.31011,1,0.06707,1,0.05242,0.25432,0.0017,0.00013,1,1,1,1,1,1,1,0.00642,0.10502,0.15733,1,1,1,1,0.05892,0.68817,1,0.64851,1,0.65135,0.67145,0.69241,0.7023,1,1,1,1,1,1,1,0.50428,0.64631,0.65068,1,1,1,1,0.5434
"chainlink",0.31305,0.39386,0.28034,1,0.27192,0.40144,0.28888,0.20375,1,1,1,1,1,1,1,0.41415,0.14236,0.00698,-0.00099,1,-0.001,-0.001,0.14236,0.68922,0.71777,0.67901,1,0.67653,0.72065,0.68159,0.65915,1,1,1,1,1,1,1,0.70693,0.64891,0.631,0.50236,1,0.49958,0.499,0.64891,-0.00098,-0.00096,-0.001,1,0.1878,0.15787,0.09563,0.08954,1,1,1,1,1,1,1,0.55011,-0.00093,0.08206,-0.00022,-0.001,-0.001,1,-0.00093,0.50418,0.50894,0.49958,1,0.65591,0.65088,0.64646,0.64664,1,1,1,1,1,1,1,0.77485,0.50174,0.54863,0.49988,0.4999,0.49958,1,0.50174
"engytime",0.04058,0.75365,0.71845,0,0.05101,0.03186,0.02313,0.00021,0.81242,0.81242,0.81242,0.81242,0.81242,0.00477,0,0.79229,0.75111,0.18492,0.80714,0.33748,0.23161,0.22974,0.53991,0.65437,0.87695,0.86024,0.70668,0.65002,0.65893,0.65403,0.70193,0.90648,0.90648,0.90648,0.90648,0.90648,0.68469,0.70668,0.89663,0.87648,0.65407,0.90393,0.688,0.62612,0.62556,0.77297,0.1053,0.8239,0.80802,0,0.01047,0.04811,0.00066,0.00021,0.81242,0.81242,0.81242,0.81242,0.00701,0.00701,0,0.25971,0.73176,0.00251,0.77156,0.35297,0.35414,0.21499,0.73176,0.62887,0.912,0.9044,0.70668,0.67402,0.58169,0.69817,0.70193,0.90648,0.90648,0.90648,0.90648,0.6799,0.6799,0.70668,0.65864,0.86705,0.57205,0.88641,0.68971,0.68982,0.61884,0.86705
"hepta",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8141,0.31529,0.56757,0.54905,0.53879,0.80745,0.67383,0.76138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84865,0.45896,0.66343,0.64549,0.64585,0.84088,0.73454,0.80048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.56738,0.36909,0.29639,0.83053,0.80745,0.80745,0.54721,0.77047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.67377,0.49689,0.45907,0.86232,0.84088,0.84088,0.65008,0.80738
"lsun",0.40461,0.36594,0.36882,1,0.36109,0.30651,0.47126,0.71079,1,1,1,1,1,1,1,0.42617,0.46041,0.05796,0.5423,0.48335,1,0.43084,0.3593,0.6272,0.60347,0.60519,1,0.60438,0.5742,0.66946,0.83302,1,1,1,1,1,1,1,0.63428,0.66036,0.48214,0.70804,0.67833,1,0.6521,0.58545,0.36746,0.37848,0.38529,1,0.39755,0.42128,0.42797,0.33956,1,1,1,1,1,1,1,0.36586,0.34256,0.32969,0.46747,0.52716,0.43972,0.52458,0.5318,0.60367,0.61289,0.61718,1,0.62278,0.63622,0.65194,0.59475,1,1,1,1,1,1,1,0.60936,0.58614,0.61375,0.66667,0.69896,0.65417,0.69679,0.7028
"target",0.20668,0.63894,0.63878,1,0.14559,0.2994,0.25488,0.08961,0.42911,0.3781,0.64119,0.65058,0.65058,0.71265,1,0.6354,0.64167,0.3749,0.38649,0.19146,0.27096,0.3335,0.45077,0.66284,0.79494,0.79483,1,0.65766,0.68407,0.67241,0.66716,0.64935,0.60909,0.79636,0.80229,0.80229,0.8405,1,0.79269,0.79667,0.66156,0.61586,0.46992,0.51986,0.57164,0.66699,0.39132,0.63894,0.63878,1,0.14559,0.15519,0.11101,0.09545,0.42911,0.3781,0.64119,0.65058,0.65058,0.71265,1,0.63662,0.60711,0.47618,0.38955,0.34655,0.38392,0.24281,0.26824,0.67861,0.79494,0.79483,1,0.65766,0.65777,0.66078,0.6649,0.64935,0.60909,0.79636,0.80229,0.80229,0.8405,1,0.79346,0.77512,0.70586,0.61832,0.58284,0.61378,0.49612,0.51698
"tetra",0.9867,1,0.96727,-3e-05,0.99332,1,0.67134,0.96727,1,1,1,1,1,0.33166,-3e-05,0.6249,0.69887,0.09643,0.75852,0.63648,0.73019,1,1,0.99,1,0.97539,0.49436,0.99497,1,0.78593,0.97539,1,1,1,1,1,0.62802,0.49436,0.74312,0.77663,0.39026,0.81845,0.7516,0.80622,1,1,0.9867,1,0.96727,-3e-05,0.99332,0.9867,0.67134,0.96727,1,1,1,1,1,0.33166,-3e-05,0.63492,0.69845,0.1183,0.64109,0.63764,0.84503,1,0.61569,0.99,1,0.97539,0.49436,0.99497,0.99,0.78593,0.97539,1,1,1,1,1,0.62802,0.49436,0.74874,0.77631,0.41793,0.75608,0.75256,0.88432,1,0.73072
"twodiamonds",0.98504,1,1,0,0.995,0.995,0.6476,0.995,0.97513,0.97513,0.97513,0.97513,0.97513,0.97513,0,0.11453,0.995,0.26195,0.995,1,1,1,0.995,0.99251,1,1,0.70578,0.9975,0.9975,0.82702,0.9975,0.98755,0.98755,0.98755,0.98755,0.98755,0.98755,0.70578,0.56508,0.9975,0.67357,0.9975,1,1,1,0.9975,0.00518,0.98504,1,0,0.97019,0.08469,0.00092,0.00317,0.98008,0.98008,0.98008,0.98008,0.98008,0.00035,0,-0.00085,0.13397,0.45501,0.32994,1,0.995,0.2518,0.16096,0.57909,0.99251,1,0.70578,0.98508,0.59483,0.66262,0.68778,0.99003,0.99003,0.99003,0.99003,0.99003,0.69975,0.70578,0.49895,0.56667,0.74179,0.69473,1,0.9975,0.67077,0.58033
"wingnut",0.46881,1,0.60115,1,1,1,1,1,1,1,1,1,1,1,1,0.92273,0.83051,0.01225,0.01695,0.01912,0.0277,0.99213,0.83051,0.74754,1,0.80038,1,1,1,1,1,1,1,1,1,1,1,1,0.96133,0.91518,0.55083,0.50799,0.50908,0.51337,0.99606,0.91518,0.4824,1,1,1,1,0.4906,0.63524,0.31864,1,1,1,1,1,1,1,0.03184,0.45536,0.23393,0.0149,0.99213,0.01802,0.9843,0.68324,0.75321,1,1,1,1,0.74505,0.81844,0.69105,1,1,1,1,1,1,1,0.51545,0.72774,0.66117,0.50697,0.99606,0.50853,0.99214,0.84154
"dense",0.25726,1,0.9212,6e-04,0.9212,0.00422,0.9212,0.9212,0.9602,0.9602,0.9602,0.9602,0.9602,0.9602,6e-04,0.29927,0.9602,0.23726,0.32201,0.14942,0.14175,0.16537,0.9602,0.67066,1,0.96044,0.69499,0.96044,0.68252,0.96044,0.96044,0.98,0.98,0.98,0.98,0.98,0.98,0.69499,0.66263,0.98,0.66527,0.68511,0.64767,0.64674,0.64998,0.98,0.47371,1,0.9212,6e-04,0.9212,0.50181,0.35729,0,0.9602,0.9602,0.9602,0.9602,0.9602,0.9602,6e-04,0.90201,0.9602,0.23726,0.9602,0.9406,0.00024,0.16537,0.9602,0.74845,1,0.96044,0.69499,0.96044,0.76038,0.7029,0.70179,0.98,0.98,0.98,0.98,0.98,0.98,0.69499,0.95082,0.98,0.66527,0.98,0.97017,0.5156,0.64998,0.98
"fuzzyx",0.65372,0.69377,0.63699,-0.00013,0.7426,0.61491,0.56588,0.2696,0.34015,0.64426,0.43094,0.33005,0.27811,0.25763,-0.00013,0.50545,0.20259,0.38854,0.43154,0.48582,0.48718,0.42827,0.90234,0.72976,0.75808,0.71287,0.44671,0.79548,0.70109,0.66277,0.49624,0.52363,0.71971,0.57073,0.51416,0.51092,0.51452,0.44671,0.61535,0.42907,0.53446,0.55878,0.59927,0.61082,0.55834,0.9219,0.59856,0.69895,0.66442,-0.00013,0.7426,0.49857,0.50989,0.2696,0.34015,0.64426,0.43094,0.33218,0.27811,0.25763,-0.00013,0.31421,0.22418,0.21052,0.47812,0.46367,0.39644,0.4877,0.59145,0.6896,0.76208,0.73433,0.44671,0.79548,0.61866,0.64844,0.49624,0.52363,0.71971,0.57073,0.51476,0.51092,0.51452,0.44671,0.48603,0.45728,0.45653,0.58907,0.58159,0.53231,0.60339,0.68728
"line",-0.071,-0.06356,-0.10431,1,-0.06611,-0.0167,-0.07778,-0.06611,1,0.01918,1,1,1,1,1,0.76822,0.03924,-0.0889,0.10362,0.17749,-0.0167,1,0.15146,0.60554,0.60256,0.64255,1,0.60349,0.59718,0.60913,0.60349,1,0.60187,1,1,1,1,1,0.91913,0.60227,0.72903,0.62731,0.65794,0.59718,1,0.64661,-0.071,-0.06356,-0.10431,1,-0.06611,-0.0167,-0.07778,-0.06611,1,0.01918,1,1,1,1,1,0.76822,0.03924,-0.0889,0.35809,0.17749,0.17749,-0.00149,0.393,0.60554,0.60256,0.64255,1,0.60349,0.59718,0.60913,0.60349,1,0.60187,1,1,1,1,1,0.91913,0.60227,0.72903,0.74252,0.65794,0.65794,0.59852,0.86123
"parabolic",0.58942,0.39128,0.62057,7e-05,0.59868,0.60178,0.68859,0.50932,0.81342,0.81342,0.81342,0.81342,0.81342,0.00057,7e-05,0.57718,0.55011,0.27398,0.65576,-0.00042,0.00193,0.37637,0.42192,0.79592,0.70089,0.81115,0.70616,0.79938,0.80269,0.84469,0.75802,0.90705,0.90705,0.90705,0.90705,0.90705,0.68821,0.70616,0.78879,0.77486,0.67989,0.82773,0.57899,0.57257,0.68794,0.71072,0.56507,0.55309,0.54124,7e-05,0.59558,0.53829,0.03266,0.57111,0.81342,0.81342,0.81342,0.81342,0.81342,0.00057,7e-05,0.10538,0.50645,0.3266,0.04592,0.00381,0.60489,0.00496,0.50645,0.78291,0.77707,0.77131,0.70616,0.79781,0.76895,0.66332,0.78645,0.90705,0.90705,0.90705,0.90705,0.90705,0.68821,0.70616,0.5527,0.75301,0.69149,0.59181,0.55946,0.80227,0.55821,0.75301
"ring",0.2092,0.15001,0.11646,1,0.11375,0.15946,0.03965,0.0286,1,1,1,1,1,1,1,-0.00094,-0.00097,0.16756,0.6688,0.26984,1,1,-0.00068,0.66034,0.64982,0.64681,1,0.64669,0.65111,0.65542,0.66042,1,1,1,1,1,1,1,0.49905,0.49904,0.65234,0.83705,0.67593,1,1,0.49924,0.2092,0.22222,0.11646,1,0.11375,0.15946,0.03965,0.0286,1,1,1,1,1,1,1,-0.00097,-0.001,0.16756,0.13053,0.95253,0.25547,0.26984,-0.00094,0.66034,0.66333,0.64681,1,0.64669,0.65111,0.65542,0.66042,1,1,1,1,1,1,1,0.49903,0.499,0.65234,0.64775,0.97625,0.67188,0.67593,0.49903
"zigzag",0.13013,0.1417,0.1417,1,0.12919,0.13236,0.143,0.18246,1,1,1,1,1,1,1,0.11749,0.14212,-0.04733,0.38177,0.37281,0.37281,0.45702,0.12668,0.50423,0.4965,0.4965,1,0.5086,0.49696,0.49106,0.52801,1,1,1,1,1,1,1,0.47355,0.50833,0.48426,0.63367,0.62981,0.62981,0.66968,0.476,0.19583,0.21352,0.17508,1,0.20717,0.13731,-0.10599,0.18192,1,1,1,1,1,1,1,0.40692,0.17821,0.21611,0.18887,0.4036,0.37281,0.38504,0.22195,0.52378,0.52091,0.51126,1,0.5467,0.49306,0.47616,0.51044,1,1,1,1,1,1,1,0.63728,0.52233,0.63452,0.50853,0.64445,0.62981,0.63519,0.52056
"iris",0.64225,0.7592,0.7312,0.56375,0.7592,0.7455,0.74453,0.56375,0.88579,0.88579,0.88579,0.88579,0.56008,0.56091,0.56375,0.71728,0.07624,0.26745,0.38831,0.42518,0.64225,0.43556,0.7684,0.76864,0.84073,0.82217,0.76352,0.84073,0.83205,0.83064,0.76352,0.92343,0.92343,0.92343,0.92343,0.75379,0.75674,0.76352,0.81255,0.49169,0.58066,0.60693,0.63006,0.76864,0.63473,0.84464,0.57263,0.63043,0.61532,0.55837,0.56214,0.34818,0.57263,0.55837,0.6357,0.6357,0.53759,0.53759,0.56002,0.56091,0.55837,0.46394,0.41663,0.23209,0.36595,0.43023,0.59177,0.63389,0.43206,0.72822,0.76234,0.74978,0.76421,0.75998,0.59664,0.72822,0.76421,0.76725,0.76725,0.71697,0.71697,0.74684,0.75674,0.76421,0.64243,0.6524,0.55522,0.60465,0.62488,0.72631,0.75675,0.66798
"iris5",0.33701,0.55779,0.50637,0.14846,0.55779,0.5322,0.53125,0.14846,0.59377,0.59377,0.59377,0.79149,0.1476,0.1476,0.14846,0.61303,0.41864,0.13319,0.65482,0.2747,0.36735,0.18195,0.54118,0.66515,0.76522,0.73784,0.69055,0.76522,0.75291,0.74987,0.69055,0.76354,0.76354,0.76354,0.88574,0.67287,0.67287,0.69055,0.77583,0.65201,0.53723,0.79738,0.57109,0.61572,0.51698,0.72945,0.27092,0.32445,0.32191,0.1505,0.45907,0.39273,0.14715,0.14743,0.29547,0.29547,0.45685,0.45685,0.05007,0.15351,0.1505,0.51933,0.23195,0.05158,0.24494,0.22197,0.25636,0.14649,0.30366,0.59947,0.59394,0.6661,0.70296,0.71571,0.68256,0.67836,0.68426,0.57551,0.57551,0.70221,0.70221,0.57875,0.65891,0.70296,0.71627,0.57405,0.60809,0.54469,0.53938,0.55007,0.50908,0.57488
"square",0.16756,0.00426,0.25345,1,0.15157,0.22034,0.21846,0.18435,1,1,1,1,1,1,1,0.00285,0.02092,0.14222,0.18093,0.24944,0.25144,0.24944,0.16756,0.65234,0.51922,0.67132,1,0.65002,0.66289,0.66245,0.65525,1,1,1,1,1,1,1,0.50277,0.51001,0.61873,0.65462,0.67024,0.67078,0.67024,0.65234,0.08446,0.1547,0.23369,1,0.03577,0.27401,0.02928,0.06309,1,1,1,1,1,1,1,0.00942,0.01025,0.17923,0.26158,1,1,1,-0.001,0.56826,0.65044,0.66614,1,0.65697,0.67714,0.66005,0.64929,1,1,1,1,1,1,1,0.5064,0.50479,0.65432,0.67357,1,1,1,0.499
"a1",0.91623,0.92006,0.91416,0.44357,0.92509,0.80402,0.66785,0.86593,0.89884,0.93712,0.89502,0.83418,0.74194,0.58475,0.44357,0.42767,0.25677,0.12952,0.69193,0.39238,0.72797,0.38459,0.72461,0.92041,0.92406,0.91844,0.56399,0.92882,0.81502,0.6943,0.87669,0.90464,0.94025,0.90128,0.84877,0.77555,0.65954,0.56399,0.49366,0.3729,0.29002,0.72486,0.50052,0.75337,0.49719,0.75216,0.64131,0.94281,0.89017,0.21693,0.89193,0.60193,0.56919,0.75655,0.84629,0.84629,0.80602,0.78865,0.67206,0.58552,0.21693,0.36905,0.26057,0.07023,0.75343,0.61656,0.61171,0.67641,0.71978,0.66632,0.94565,0.89566,0.40396,0.89841,0.62917,0.61118,0.7853,0.85592,0.85592,0.82262,0.8104,0.71968,0.65839,0.40396,0.45481,0.38922,0.24734,0.7718,0.66281,0.65887,0.70741,0.74344
"a2",0.90842,0.93213,0.92226,0.34776,0.93373,0.85688,0.62487,0.81485,0.92243,0.94907,0.89938,0.83147,0.65679,0.52682,0.34776,0.36833,0.18836,0.09022,0.47401,0.31851,0.31276,0.56031,0.43102,0.91103,0.93407,0.92448,0.48041,0.93561,0.86138,0.65164,0.83002,0.9249,0.95051,0.90329,0.84263,0.70257,0.60746,0.48041,0.441,0.31304,0.22727,0.55119,0.43498,0.43215,0.61568,0.52363,0.91043,0.93388,0.93308,0.24828,0.94305,0.80016,0.6185,0.87152,0.92213,0.92213,0.89419,0.84024,0.59679,0.50945,0.24828,0.35492,0.36728,0.10103,0.60082,0.48348,0.38971,0.44979,0.78315,0.91298,0.93577,0.93498,0.40542,0.94467,0.80693,0.64403,0.87802,0.92457,0.92457,0.89814,0.85097,0.65717,0.59345,0.40542,0.43052,0.44608,0.24804,0.64567,0.55892,0.487,0.53105,0.7999
"a3",0.917855629735215,0.947363821495965,0.937376282157567,0.315389079638147,0.943526692367395,0.849599272210285,0.641809954603713,0.843265365529763,0.938654515822145,0.95736,0.92103,0.82467,0.71097,0.57327,0.315389079638147,0.329285875655543,0.237378203963972,0.109795079088123,0.6961,0.39014,0.32664,0.37586,0.529592669456821,0.919499622736701,0.948414844526591,0.938626888513427,0.448862452570547,0.944650702080128,0.853266387069355,0.661291056745695,0.853389283509695,0.940004324433271,0.95821,0.92322,0.83576,0.74289,0.63786,0.448862452570547,0.405599882952036,0.354047353112592,0.239699569818418,0.72378,0.4862,0.43782,0.47698,0.59698221315117,0.914938857771586,0.947363821495965,0.938880039669881,0.315389079638147,0.943785220948258,0.842652709274533,0.637036100679285,0.843265365529763,0.938654515822145,0.95736,0.92103,0.82467,0.71097,0.57327,0.315389079638147,0.268922947256177,0.294185048706837,0.106014459589929,0.36401,0.45004,0.34084,0.25141,0.379800350640886,0.916644931905245,0.948414844526591,0.940099545609396,0.448862452570547,0.944904105882445,0.846571159820541,0.659446215716053,0.853389283509695,0.940004324433271,0.95821,0.92322,0.83576,0.74289,0.63786,0.448862452570547,0.364785127811593,0.393481423308231,0.241014850577332,0.46484,0.53084,0.44783,0.37894,0.483735553048956
"aggregation",0.77442,0.7944,0.81331,0.80421,0.99347,0.6825,0.94933,0.99347,0.56554,0.47758,0.76356,0.87986,0.85876,0.76899,0.80421,0.51526,0.2319,0.37314,0.82093,0.64855,0.54813,0.78684,0.58211,0.82373,0.8414,0.8559,0.86118,0.99488,0.74959,0.96128,0.99488,0.65733,0.58214,0.81647,0.90814,0.8941,0.83107,0.86118,0.61409,0.39254,0.56977,0.86191,0.72199,0.64956,0.84033,0.66804,0.75279,0.79594,0.80189,0.80577,0.99133,0.7594,0.75096,1,0.62186,0.55969,0.69131,0.92945,0.78105,0.77694,0.80577,0.4753,0.30692,0.18219,0.53224,0.69448,0.77319,0.44458,0.59462,0.80551,0.84275,0.84516,0.86252,0.9932,0.8111,0.80871,1,0.71096,0.64811,0.76415,0.94519,0.84136,0.83785,0.86252,0.57828,0.46877,0.42213,0.63259,0.7676,0.8226,0.61454,0.67676
