"","HComplete.AR.non.scaled","HWardD.AR.non.scaled","HWardD2.AR.non.scaled","HSingle.AR.non.scaled","HAverage.AR.non.scaled","HMcQuitty.AR.non.scaled","HMedian.AR.non.scaled","HCentroid.AR.non.scaled","Genie.AR.non.scaled","Genie0.2.AR.non.scaled","Genie0.4.AR.non.scaled","Genie0.5.AR.non.scaled","Genie0.6.AR.non.scaled","Genie0.7.AR.non.scaled","ASingle.AR.non.scaled","ownq1.AR.non.scaled","own2q.AR.non.scaled","own3q.AR.non.scaled","own5.AR.non.scaled","own10.AR.non.scaled","own12.AR.non.scaled","own15.AR.non.scaled","own.AR.non.scaled","HComplete.FM.non.scaled","HWardD.FM.non.scaled","HWardD2.FM.non.scaled","HSingle.FM.non.scaled","HAverage.FM.non.scaled","HMcQuitty.FM.non.scaled","HMedian.FM.non.scaled","HCentroid.FM.non.scaled","Genie.FM.non.scaled","Genie0.2.FM.non.scaled","Genie0.4.FM.non.scaled","Genie0.5.FM.non.scaled","Genie0.6.FM.non.scaled","Genie0.7.FM.non.scaled","ASingle.FM.non.scaled","ownq1.FM.non.scaled","own2q.FM.non.scaled","own3q.FM.non.scaled","own5.FM.non.scaled","own10.FM.non.scaled","own12.FM.non.scaled","own15.FM.non.scaled","own.FM.non.scaled","HComplete.AR.scaled","HWardD.AR.scaled","HWardD2.AR.scaled","HSingle.AR.scaled","HAverage.AR.scaled","HMcQuitty.AR.scaled","HMedian.AR.scaled","HCentroid.AR.scaled","Genie.AR.scaled","Genie0.2.AR.scaled","Genie0.4.AR.scaled","Genie0.5.AR.scaled","Genie0.6.AR.scaled","Genie0.7.AR.scaled","ASingle.AR.scaled","ownq1.AR.scaled","own2q.AR.scaled","own3q.AR.scaled","own5.AR.scaled","own10.AR.scaled","own12.AR.scaled","own15.AR.scaled","own.AR.scaled","HComplete.FM.scaled","HWardD.FM.scaled","HWardD2.FM.scaled","HSingle.FM.scaled","HAverage.FM.scaled","HMcQuitty.FM.scaled","HMedian.FM.scaled","HCentroid.FM.scaled","Genie.FM.scaled","Genie0.2.FM.scaled","Genie0.4.FM.scaled","Genie0.5.FM.scaled","Genie0.6.FM.scaled","Genie0.7.FM.scaled","ASingle.FM.scaled","ownq1.FM.scaled","own2q.FM.scaled","own3q.FM.scaled","own5.FM.scaled","own10.FM.scaled","own12.FM.scaled","own15.FM.scaled","own.FM.scaled"
"spiral",0.00184,0.00817,-0.00088,1,-0.00226,0.00171,-0.00264,0.00896,1,1,1,1,1,1,1,-0.00407,0.00012,0.0313,0.16335,0.13151,0.13115,0.05485,-0.00524,0.3385,0.33741,0.33738,1,0.35727,0.34569,0.33175,0.38586,1,1,1,1,1,1,1,0.33789,0.33924,0.42264,0.46181,0.51621,0.44934,0.41189,0.33429,0.00292,-2e-04,-0.00426,1,0.02027,0.00793,-0.00508,0.01188,1,1,1,1,1,1,1,-0.0054,-0.00549,0.03208,0.16845,0.1574,0.05226,0.02646,-0.00557,0.36349,0.33648,0.34832,1,0.35841,0.33742,0.33001,0.50463,1,1,1,1,1,1,1,0.33767,0.32838,0.43639,0.46383,0.52356,0.45176,0.39763,0.33446
"unbalance",0.612466342912506,0.999976887161302,0.999976887161302,0.998827631863184,1,0.612735494359253,0.612735494359253,0.999976887161302,0.623750737529922,0.61431,0.68577,0.78202,0.87546,0.99998,0.998827631863184,0.842641739053014,0.405950457652651,0.261680647219347,0.47849,0.62845,0.66916,0.68923,0.470858690332231,0.774934260928907,0.999983476565497,0.999983476565497,0.999162482279799,1,0.775147915264123,0.775147915264123,0.999983476565497,0.729922646159503,0.723,0.77502,0.84413,0.91083,0.99998,0.999162482279799,0.887960969368921,0.553927630246513,0.519316020704008,0.61518,0.73263,0.7608,0.7788,0.610095208807671,0.610925480455154,0.743035720974668,0.999976887161302,0.611917772038323,0.611876833805529,0.611334111870176,0.610625249025141,0.611013025187178,0.616390535857784,0.57394,0.74196,0.7534,0.84742,1,0.611917772038323,0.593016842203888,0.693793414373906,0.307654069325317,0.53428,0.39945,0.51496,0.58759,0.35086550879439,0.774073847113474,0.817611842849036,0.999983476565497,0.774752643196878,0.774722461864095,0.774266751915057,0.773901743227516,0.774249292051809,0.724527254433862,0.69318,0.81545,0.82365,0.89082,1,0.774752643196878,0.699825933392799,0.777545903469296,0.499912952275652,0.66349,0.57246,0.64469,0.7045,0.512246504255778
"cross",0.35873,0.15365,0.07246,0,0.00134,0.04493,0.00614,0.00023,0.46335,0.75529,0.31373,0.10354,0.10354,0.06467,0,0.99867,0.24937,0.06286,0.31745,0.43772,0.29133,0.41974,0.99867,0.59697,0.45544,0.44043,0.49838,0.49046,0.47538,0.47585,0.49482,0.62364,0.8185,0.54381,0.44051,0.44051,0.45437,0.49838,0.999,0.49979,0.44007,0.50482,0.60018,0.48323,0.58906,0.999,0.08673,0.15365,0.07246,0,0.00134,0.04493,0.00501,0.00023,0.46335,0.75529,0.31373,0.10354,0.10354,0.06467,0,0.60372,0.12107,0.04676,0.2537,0.45453,0.43285,0.42289,0.53498,0.44353,0.45544,0.44043,0.49838,0.49046,0.47538,0.48516,0.49482,0.62364,0.8185,0.54381,0.44051,0.44051,0.45437,0.49838,0.72611,0.46933,0.44477,0.45627,0.6108,0.59718,0.59102,0.66084
"smile",0.49929,0.43921,0.45214,1,0.57463,0.48445,0.48092,0.60476,1,0.70085,1,1,1,1,1,0.56834,0.34247,0.33981,0.1783,0.41123,0.49011,0.41422,0.31493,0.64717,0.58342,0.59392,1,0.69031,0.62434,0.62572,0.71331,1,0.78573,1,1,1,1,1,0.6857,0.5111,0.50844,0.40856,0.56318,0.63102,0.56569,0.48884,0.4743,0.44591,0.45491,1,0.47097,0.47031,0.57352,0.60564,1,0.70085,1,1,1,1,1,0.41894,0.24953,0.2536,0.35271,0.33762,0.30372,0.29203,0.26478,0.61771,0.58886,0.59616,1,0.62249,0.61601,0.68947,0.71399,1,0.78573,1,1,1,1,1,0.56932,0.46367,0.49665,0.52191,0.50082,0.47763,0.46918,0.45892
"twosplashes",0.21895,0.21426,0.19165,0.00015,0.00226,0.19165,0.27909,0.00226,0.50285,0.50285,0.50285,0.50285,0.50285,0.00226,0.00015,0.27909,0.27381,0.03436,0.14308,0.16601,0.13871,0.13129,0.27381,0.60946,0.60698,0.60209,0.70098,0.68957,0.60209,0.63864,0.68957,0.7508,0.7508,0.7508,0.7508,0.7508,0.68957,0.70098,0.63864,0.636,0.58,0.64821,0.58196,0.59205,0.58853,0.636,0.00682,0.30075,0.30075,0.00015,0.01761,0.00682,0.00456,0.01761,1,1,1,1,1,1,0.00015,0.28982,0.7218,-0.00154,0.48883,0.73896,1,-1e-05,0.06014,0.67932,0.6495,0.6495,0.70098,0.66683,0.67932,0.68357,0.66683,1,1,1,1,1,1,0.70098,0.64402,0.86055,0.56766,0.75552,0.87046,1,0.49874,0.52889
"x1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.76139,0.04483,0.49479,0.77286,0.62644,0.46544,0.46372,0.9576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84143,0.49855,0.67981,0.85034,0.7541,0.67149,0.6702,0.97204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.68873,0.43043,0.38983,0.65135,0.46372,1,0.60449,0.37343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.79534,0.65252,0.6219,0.76963,0.6702,1,0.74089,0.62967
"x2",0.20905,0.66892,0.1906,-0.00692,0.25017,-0.00751,-0.0067,0.27131,0.68829,0.68829,0.20905,0.20905,0.20905,0.27131,-0.00692,0.68829,0.30041,0.36606,0.68767,0.38318,0.68958,0.28633,0.66892,0.55066,0.78284,0.54257,0.5709,0.58676,0.50976,0.5566,0.59688,0.79519,0.79519,0.55066,0.55066,0.55066,0.59688,0.5709,0.79519,0.55856,0.66442,0.79434,0.60332,0.79653,0.54541,0.78284,0.20905,0.66892,0.1906,-0.00692,0.1906,0.15629,0.00477,0.27131,0.68829,0.68829,0.20905,0.20905,0.20905,0.20905,-0.00692,0.68829,0.13644,0.09803,0.50018,0.61651,0.37985,0.68958,0.37707,0.55066,0.78284,0.54257,0.5709,0.54257,0.52836,0.51817,0.59688,0.79519,0.79519,0.55066,0.55066,0.55066,0.55066,0.5709,0.79519,0.52569,0.5187,0.68152,0.74963,0.60278,0.79653,0.60027
"x3",0.57638,0.8214,0.8689,0.0065,0.50455,0.53421,0.6436,0.56665,0.49671,0.88293,0.49671,0.49671,0.51601,0.24804,0.0065,0.86528,0.56271,0.16461,0.79122,0.57783,0.87989,0.55261,0.86528,0.69363,0.86855,0.90337,0.51157,0.6785,0.69629,0.77923,0.72935,0.67134,0.914,0.67134,0.67134,0.68825,0.57333,0.51157,0.90059,0.70819,0.46352,0.84842,0.71115,0.91165,0.71821,0.90059,0.7743,0.8214,0.8689,0.0065,0.50455,0.70106,0.62064,0.56164,0.49671,0.88293,0.49671,0.49671,0.51601,0.24804,0.0065,0.53132,0.509,0.13981,0.89347,0.74462,0.63315,0.71608,0.59518,0.83522,0.86855,0.90337,0.51157,0.6785,0.78421,0.76379,0.72383,0.67134,0.914,0.67134,0.67134,0.68825,0.57333,0.51157,0.67307,0.66302,0.43432,0.92168,0.81211,0.74267,0.79354,0.71071
"z1",0.18082,0.20153,0.18357,0.12161,0.21359,0.20025,0.20025,0.04713,0.39442,0.38053,0.38053,0.38053,0.40769,0.16561,0.45781,0.12269,0.23743,0.11197,0.07826,0.20058,0.20321,0.2404,0.10838,0.45745,0.46629,0.46383,0.53964,0.51147,0.47361,0.47361,0.51648,0.61162,0.6075,0.6075,0.6075,0.64517,0.56578,0.67642,0.42405,0.49372,0.5173,0.38462,0.46625,0.46683,0.49283,0.40974,0.24856,0.07911,0.07978,-5e-05,0.07978,0.24694,0.11372,0.04373,0.09643,0.09643,-0.007,-0.007,-0.007,-0.007,-5e-05,0.10225,0.12071,0.09499,0.30139,0.32017,0.14033,0.10476,0.09947,0.5024,0.41701,0.41772,0.56829,0.41772,0.50434,0.42818,0.39397,0.41547,0.41547,0.39649,0.39649,0.39649,0.39649,0.56829,0.41679,0.41427,0.43103,0.57388,0.58264,0.43862,0.42195,0.40485
"z2",0.44139,0.47667,0.43418,0.73471,0.51153,0.38599,0.52308,0.57437,0.6329,0.49623,0.6329,0.82036,1,1,0.73471,0.3666,0.36783,0.48206,0.51857,0.44817,0.40148,0.64393,0.38828,0.62308,0.64437,0.61168,0.85747,0.67586,0.59423,0.69755,0.77626,0.76369,0.65898,0.76369,0.89211,1,1,0.85747,0.5602,0.5874,0.68797,0.68761,0.622,0.58933,0.76771,0.57638,0.30257,0.53494,0.34172,0.73471,0.40318,0.40137,0.28238,0.47577,0.49933,0.44099,0.64337,1,1,1,0.73471,0.35332,0.22552,0.12771,0.66707,0.58256,0.3887,0.65204,0.38899,0.53514,0.68788,0.54116,0.85747,0.59573,0.60313,0.52164,0.75188,0.66668,0.61919,0.76581,1,1,1,0.85747,0.55167,0.49442,0.53541,0.78234,0.72333,0.60573,0.77231,0.57667
"z3",0.933199091926119,0.995251534149178,1,0.73869222959752,0.997617794691025,0.939522341918026,0.995251534149178,1,0.664112252140108,0.6307,0.9184,0.9184,0.72778,0.73098,0.73869222959752,0.74889946609126,0.757404827416211,0.337222379595242,0.69658,0.70645,0.61353,0.54097,0.74889946609126,0.953529024522577,0.996677637175018,1,0.842076827699334,0.99833060567777,0.957457330803564,0.996677637175018,1,0.772664124422627,0.7415,0.94339,0.94339,0.83367,0.83614,0.842076827699334,0.820686049644265,0.839793518135045,0.569305295999838,0.78473,0.79191,0.73202,0.68839,0.820686049644265,0.981100158401621,0.995251534149178,0.995251534149178,0.73869222959752,0.958843832614965,0.940376349498702,0.983463212146647,0.995251534149178,0.669184471399952,0.66918,0.9184,0.9184,0.75081,0.73098,0.73869222959752,0.744303662064546,0.35637591348468,0.224929798051631,0.69798,0.53903,0.70114,0.39314,0.594198189837062,0.986757633225659,0.996677637175018,0.996677637175018,0.842076827699334,0.971522812236976,0.958890118649584,0.988402052106446,0.996677637175018,0.764457365510383,0.76446,0.94339,0.94339,0.84268,0.83614,0.842076827699334,0.817332099439187,0.552265003851798,0.525954397599077,0.78391,0.68706,0.78618,0.6126,0.709666471258936
"benchmark2",0.19259,0.08488,0.16332,1,-0.04677,0.10479,0.09255,-0.03998,1,1,1,1,1,1,1,0.1829,-0.00528,0.24052,0.1068,0.42723,1,0.49996,0.09436,0.48668,0.44023,0.47332,1,0.51115,0.42837,0.47479,0.55504,1,1,1,1,1,1,1,0.48261,0.40621,0.55409,0.50138,0.65731,1,0.69062,0.42635,0.19259,0.08488,0.16332,1,-0.04677,0.10479,0.09255,-0.03998,1,1,1,1,1,1,1,0.05227,0.09549,0.16228,0.0862,1,0.41125,0.56515,0.06602,0.48668,0.44023,0.47332,1,0.51115,0.42837,0.47479,0.55504,1,1,1,1,1,1,1,0.41303,0.43519,0.51522,0.43633,1,0.64983,0.72441,0.40404
"benchmark3",0.3215,0.00974,0.16208,1,-0.022,0.04441,-0.00198,-0.0382,1,1,1,1,1,1,1,-0.00245,-0.00302,0.04302,0.13291,0.61884,1,0.61097,0.01279,0.67646,0.59812,0.6177,1,0.61073,0.59583,0.72568,0.65607,1,1,1,1,1,1,1,0.52195,0.5489,0.5958,0.60972,0.81535,1,0.8115,0.58823,0.15351,0.11158,-0.0207,1,-0.022,0.10417,-0.03751,-0.02869,1,1,1,1,1,1,1,0.00177,-0.00258,0.03489,0.11726,1,1,1,0.03946,0.61523,0.60473,0.60979,1,0.61073,0.6032,0.65971,0.68447,1,1,1,1,1,1,1,0.51582,0.53191,0.59579,0.60598,1,1,1,0.57589
"benchmark4",0.69896,0.69911,0.69677,1,0.62442,0.657,0.75439,0.51481,0.93121,0.93121,0.93121,1,1,1,1,0.47261,0.31185,0.0654,0.60328,0.54231,0.58779,0.57279,0.56788,0.77422,0.77442,0.7731,1,0.71794,0.74184,0.81681,0.63448,0.94915,0.94915,0.94915,1,1,1,1,0.60362,0.49066,0.39549,0.70042,0.67784,0.70176,0.68165,0.67305,0.28992,0.31072,0.2987,1,0.31189,0.29669,0.37682,0.44474,0.93054,0.79089,0.93054,1,1,1,1,0.49256,0.42066,0.15757,0.35266,0.71538,0.76825,0.54629,0.31072,0.4651,0.47974,0.46861,1,0.4802,0.48104,0.55822,0.59384,0.94865,0.8443,0.94865,1,1,1,1,0.61441,0.57145,0.41107,0.51331,0.78898,0.82708,0.66284,0.48426
